@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
6,3.288145,3.857143,4.809524,2.51464,-0.773505,3.272727,5.079545,1.638713,-1.649432,-0.875927,2.684825,5.513558,1.331931,-1.956214,-1.182708,-0.306782,1.537994,2.490953,Spot
6,3.604231,4,6.333333,2.678611,-0.92562,3.424242,4.064394,1.652364,-1.951867,-1.026247,2.708171,5.941847,1.328651,-2.27558,-1.34996,-0.323713,1.545593,2.489304,Spot
6,4.006152,4.571429,2.619048,2.726556,-1.279596,4.333333,11.041667,1.644133,-2.362019,-1.082423,2.785992,5.832928,1.324041,-2.682112,-1.402516,-0.320092,1.521277,2.486876,Spot
4,4.173167,5.428571,5.285714,2.638532,-1.534635,4.272727,10.892045,1.614663,-2.558504,-1.023869,2.603113,5.560615,1.318233,-2.854935,-1.3203,-0.296431,1.526849,2.481539,Spot
3,3.642171,3.428571,1.285714,2.424238,-1.217932,4.242424,9.939394,1.566848,-2.075323,-0.857391,2.36965,5.327669,1.3112,-2.330971,-1.113039,-0.255648,1.490375,2.438579,Spot
4,2.817964,3.142857,2.476191,2.131158,-0.686806,2.757576,4.251894,1.506168,-1.311796,-0.62499,2.159533,4.650231,1.303248,-1.514716,-0.82791,-0.20292,1.460993,2.415862,Spot
2,3.021844,3.142857,4.142857,2.463496,-0.558348,3.030303,4.342803,1.616447,-1.405397,-0.847049,2.548638,5.209539,1.338763,-1.683082,-1.124733,-0.277684,1.518744,2.470758,Spot
3,3.43319,3,4.666667,2.520891,-0.9123,3.69697,10.405303,1.60966,-1.82353,-0.911231,2.579767,5.643026,1.333997,-2.099193,-1.186893,-0.275663,1.506586,2.469039,Spot
4,3.751985,4.857143,29.809525,2.45584,-1.296145,3.909091,11.147727,1.583518,-2.168468,-0.872322,2.412451,5.126094,1.328105,-2.42388,-1.127735,-0.255413,1.495441,2.441692,Spot
2,3.240646,3,3.333333,2.272673,-0.967973,3.575758,10.189394,1.540358,-1.700287,-0.732314,2.237354,4.877037,1.321066,-1.919579,-0.951606,-0.219292,1.483789,2.415094,Spot
1,2.883176,2.428571,4.619048,2.274258,-0.608917,3.30303,11.092803,1.563998,-1.319178,-0.71026,2.280156,4.647768,1.343871,-1.539304,-0.930387,-0.220127,1.483283,2.38264,Spot
1,3.060575,2.714286,4.571429,2.216961,-0.843615,3.333333,11.729167,1.541124,-1.519451,-0.675837,2.182879,4.829706,1.337953,-1.722623,-0.879008,-0.203171,1.472138,2.373019,Spot
4,2.722396,2.428571,3.619048,2.06266,-0.659737,2.878788,11.484848,1.503153,-1.219244,-0.559507,2.003891,4.347641,1.330982,-1.391414,-0.731678,-0.17217,1.438703,2.337599,Spot
4,3.444456,3.285714,3.904762,2.530286,-0.91417,3.545455,5.630682,1.6579,-1.786556,-0.872386,2.548638,4.842351,1.391074,-2.053382,-1.139212,-0.266826,1.573961,2.379474,Spot
5,4.545562,5.428571,4.285714,2.749916,-1.795646,4.969697,7.280303,1.654495,-2.891066,-1.09542,2.63035,5.022982,1.372112,-3.17345,-1.377804,-0.282384,1.549645,2.359166,Spot
7,5.240096,6.857143,9.809524,2.837119,-2.402977,5.515152,7.757576,1.636034,-3.604062,-1.201085,2.642023,4.847915,1.352287,-3.887809,-1.484832,-0.283747,1.522796,2.328674,Spot
2,2.862909,2,1.333333,2.452639,-0.41027,3.151515,4.695076,1.68016,-1.182749,-0.772478,2.533074,4.273316,1.415194,-1.447715,-1.037445,-0.264967,1.620061,2.428305,Spot
3,3.843385,4.857143,6.809524,2.683081,-1.160304,3.909091,4.960227,1.686441,-2.156944,-0.99664,2.723735,4.896036,1.396858,-2.446527,-1.286223,-0.289583,1.594731,2.411447,Spot
9,4.869904,6,4.333333,2.86448,-2.005424,4.909091,4.835227,1.679406,-3.190498,-1.185074,2.797665,4.818276,1.377469,-3.492435,-1.487011,-0.301937,1.561297,2.360914,Spot
7,5.317721,7.428571,0.952381,2.921448,-2.396273,5.545455,7.068182,1.656564,-3.661158,-1.264884,2.789883,4.705678,1.357236,-3.960485,-1.564212,-0.299327,1.538501,2.331766,Spot
5,3.074417,4,4.333333,2.215673,-0.858744,2.909091,3.960227,1.663844,-1.410573,-0.551829,2.198444,2.964373,1.453958,-1.620459,-0.761715,-0.209886,1.616008,2.437371,Spot
2,3.161078,3.857143,3.476191,2.37896,-0.782118,3.272727,3.704545,1.682164,-1.478914,-0.696797,2.424124,3.487385,1.43777,-1.723308,-0.94119,-0.244394,1.618034,2.451089,Spot
3,3.195111,3,1,2.536119,-0.658991,3.333333,3.479167,1.694143,-1.500968,-0.841976,2.579767,3.877402,1.4202,-1.774911,-1.115919,-0.273943,1.616515,2.460568,Spot
4,3.725905,3.714286,1.238095,2.685571,-1.040333,3.848485,5.007576,1.695926,-2.029979,-0.989645,2.766537,4.796844,1.40142,-2.324485,-1.284151,-0.294506,1.602837,2.424037,Spot
5,4.344005,5.571429,7.619048,2.793433,-1.550572,4.666667,5.416667,1.683987,-2.660018,-1.109447,2.848249,4.816725,1.381626,-2.962379,-1.411807,-0.30236,1.580547,2.402784,Spot
8,4.575429,5.571429,3.952381,2.805018,-1.770411,4.727273,5.767045,1.656418,-2.919012,-1.1486,2.762646,4.611412,1.361028,-3.214402,-1.44399,-0.29539,1.555724,2.365621,Spot
3,2.778036,2.714286,1.238095,2.155596,-0.62244,3.181818,3.840909,1.652821,-1.125215,-0.502775,2.116731,2.884758,1.474102,-1.303934,-0.681494,-0.178719,1.633232,2.309407,Spot
