@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
61880,40336.082031,51456.285156,422377280,21279.107422,-19056.974609,42833.546875,408028448,10111.456055,-30224.625,-11167.651367,20605.019531,412681952,5859.055176,-34477.027344,-15420.052734,-4252.400879,7952.184082,116753552,Spot
65535,37328.570313,54137.570313,91980344,19689.369141,-17639.201172,38013.667969,466699392,9746.72168,-27581.847656,-9942.647461,18694.460938,383408224,5765.359863,-31563.210938,-13924.009766,-3981.361816,7827.556641,117136160,Spot
52618,29826.205078,40481.570313,591783232,16828.921875,-12997.283203,31319.96875,442491392,9164.833008,-20661.371094,-7664.088867,16332.941406,351819520,5655.608887,-24170.595703,-11173.3125,-3509.224121,7653.338379,117518600,Spot
49925,21772.554688,32081.714844,265501232,13411.735352,-8360.819336,20690.121094,302446208,8429.542969,-13343.011719,-4982.192383,13003.667969,273384928,5531.987305,-16240.567383,-7879.748047,-2897.555664,7447,117186968,Spot
17635,20616.986328,23647.572266,241230816,14767.258789,-5849.727539,21293.394531,273233504,9519.831055,-11097.155273,-5247.427734,14872.609375,269761440,6084.875488,-14532.111328,-8682.382813,-3434.955566,8463.828125,114092432,Spot
55491,31504.044922,40181.429688,270083776,18529.056641,-12974.988281,32441.908203,397432256,10077.790039,-21426.253906,-8451.266602,17991.59375,346517216,6069.769531,-25434.275391,-12459.287109,-4008.020508,8371.548828,114951896,Spot
50135,40195.492188,50966.144531,201513888,21787.740234,-18407.751953,42300.332031,419085696,10463.291016,-29732.201172,-11324.449219,21252.066406,403255616,6034.657715,-34160.835938,-15753.082031,-4428.633301,8258.883789,115470416,Spot
65535,45731.160156,56456.714844,96636840,23710.212891,-22020.947266,47787.667969,385265472,10612.672852,-35118.488281,-13097.540039,22484.945313,409518720,5979.643066,-39751.515625,-17730.570313,-4633.029785,8159.28125,115890992,Spot
65535,47456.398438,59384.144531,151477184,23752.503906,-23703.894531,50935.183594,315155840,10490.436523,-36965.960938,-13262.067383,22481.527344,417386912,5904.857422,-41551.539063,-17847.646484,-4585.579102,8052.008789,116428152,Spot
59693,43880.300781,61308.570313,37332596,21856.039063,-22024.261719,45513.757813,422010080,10099.625,-33780.675781,-11756.414063,20574.375,404942400,5811.241211,-38069.058594,-16044.797852,-4288.383789,7894.681641,116941952,Spot
